NO,Driver
2,Stoffel Vandoorne
3,Daniel Ricciardo
5,Sebastian Vettel
6,Nico Rosberg
7,Kimi Raikkonen
8,Romain Grosjean
9,Marcus Ericsson
10,Pierre Gasly
11,Sergio Perez
12,Felipe Nasr
14,Fernando Alonso
18,Lance Stroll
19,Felipe Massa
20,Kevin Magnussen
21,Esteban Gutierrez
22,Jenson Button
26,Daniil Kvyat
27,Nico Hulkenberg
28,Brendon Hartley
30,Jolyon Palmer
31,Esteban Ocon
33,Max Verstappen
36,Antonio Giovinazzi
39,Brendon Hartley
40,Paul di Resta
44,Lewis Hamilton
47,Stoffel Vandoorne
55,Carlos Sainz Jnr
77,Valtteri Bottas
88,Rio Haryanto
94,Pascal Wehrlein