race_id,year,race_in_year,track
0,2016,0,Melbourne
1,2016,10,Budapest
2,2016,12,Spa-Francorchamps
3,2016,17,Austin
4,2016,18,Mexico City
5,2016,19,São Paulo
6,2016,1,Sakhir
7,2016,20,Yas Marina
8,2016,2,Shanghai
9,2016,3,Sochi
10,2016,4,Catalunya
11,2016,5, Monte-Carlo
12,2016,6,Montréal
13,2016,7,Baku
14,2016,8, Spielberg
15,2016,9,Silverstone
16,2017,0,Melbourne
17,2017,10,Budapest
18,2017,11,Spa-Francorchamps
19,2017,12,Monza
20,2017,13,Singapore
21,2017,14,Kuala Lumpur
22,2017,15,Suzuka
23,2017,16,Austin
24,2017,17,Mexico City
25,2017,18,São Paulo
26,2017,19,Yas Marina
27,2017,1,Shanghai
28,2017,2,Sakhir
29,2017,3,Sochi
30,2017,4,Catalunya
31,2017,5, Monte-Carlo
32,2017,7,Baku
33,2017,9,Silverstone